,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,K001,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M501_01,M501_02,M501_03,M501_04,M501_05,M501_06,M502_01,M502_02,M502_03,Zielgruppe
10,Männlich,1958,01139,Hochschulabschluß,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,2,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,ja,eher ja,eher hoch,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,mittelmäßig,ja,ja,mittelmäßig,mittelmäßig,eher ja,mittelmäßig,eher ja,eher ja,mittelmäßig,-,-,ich weiss es nicht,ich weiss es nicht,Option A,Option A,Option A,Option B,nein,eher hoch,eher gering,Keine Angabe,gering,4,3,3,eher hoch,eher hoch,eher gering,Nein,nein,nein,nein,nein,ja,nein,nein,Keine Angabe,,,,,,ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme zu,Keine Angabe,stimme eher nicht zu,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,2.25,2.2222222222222223,1.0,1.6,3.7,0.8333333333333334,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
11,Männlich,1946,08523,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,,,Option B,Option B,Option A,Option A,Option A,Option B,eher nein,gering,eher gering,eher gering,eher gering,3,4,3,eher gering,eher gering,eher gering,Nein,Keine Angabe,nein,Keine Angabe,nein,ja,Keine Angabe,eher nein,Nein,ja,ja,ja,,,ja,eher ja,ja,ja,eher ja,stimme zu,stimme zu,stimme eher nicht zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme zu,3.5,2.4444444444444446,2.0,3.6,0.0,0.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
12,Männlich,1958,09488,Hochschulabschluß,3,Nein,Ja,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,Keine Angabe,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,nein,eher ja,ja,nein,nein,eher ja,gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,Keine Angabe,mittelmäßig,eher ja,eher ja,eher ja,eher ja,eher ja,mittelmäßig,strukturierung der seite,nichts,Option B,Option B,Option A,Option A,Option B,Option A,nein,gering,gering,gering,gering,2,-1,2,gering,gering,gering,Nein,Keine Angabe,nein,Keine Angabe,ja,ja,Keine Angabe,ja,Nein,ja,ja,ja,,,eher ja,Keine Angabe,eher ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme nicht zu,Keine Angabe,Keine Angabe,Keine Angabe,0.25,0.0,1.0,1.2,3.4,0.5,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
13,Weiblich,1959,84405,Hochschulabschluß,3,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Keine Angabe,Ja,Edelgas,2,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher ja,ja,nein,eher ja,eher nein,eher gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,Keine Angabe,Keine Angabe,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,eher ja,ja,mittelmäßig,eher ja,eher ja,ja,eher ja,die klare Aufteillung und farbliche wie graphische Gestaltung,nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,4,4,3,eher gering,eher gering,gering,Nein,nein,nein,eher nein,ja,eher ja,eher ja,nein,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme eher nicht zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,stimme eher nicht zu,1.75,3.2222222222222223,1.6666666666666667,3.8,4.4,1.0,clicked,not_clicked,clicked,clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
14,Männlich,1964,01705,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,eher ja,ja,nein,ja,eher nein,hoch,hoch,eher hoch,Ja,Nein,,Nein,,Ja,Ja,eher hohe Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,eher ja,eher ja,ja,ja,ja,für mich war das gelesene nichts neues aber für viele andere die sich damit noch nicht beschäftigt haben ist es sehr nützlich und informatief,nix...alles gut,Option B,Option B,Option A,Option A,Option B,Option A,nein,eher hoch,eher hoch,eher gering,eher gering,4,3,3,hoch,hoch,eher gering,Nein,nein,nein,nein,ja,ja,nein,nein,Ja,,,,,,ja,ja,ja,ja,ja,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,Keine Angabe,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,3.611111111111111,2.3333333333333335,4.0,4.8,0.6666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
15,Männlich,1959,95173,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,1. Etage,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher ja,eher nein,eher ja,eher nein,ja,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,ja,eher ja,sehr viel Neues erfahren,nichts,,,,,,,eher ja,hoch,eher gering,eher gering,gering,4,3,3,eher hoch,eher hoch,eher gering,Nein,nein,nein,eher ja,eher ja,eher ja,nein,nein,Ja,,,,,,ja,ja,ja,ja,eher nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.25,3.4444444444444446,1.6666666666666667,3.6,4.3,0.6666666666666666,clicked,clicked,clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
16,Männlich,1981,08340,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,0 bis 5 Jahres,2. Etage oder höher,Ja,Edelgas,3,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ausgewählt,ja,eher nein,ja,eher nein,eher ja,eher ja,eher gering,eher hoch,eher gering,Ja,Nein,,Ja,"Messgeräte,Messung der Behörde und zusätzliche Lüftung im Gebäude",Nein,Ja,hohe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,eher ja,ja,ja,eher ja,ja,eher ja,eher ja,eher ja,Erklärung zum Schluß.,,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher hoch,eher gering,eher gering,gering,4,4,4,gering,eher gering,gering,Nein,Keine Angabe,Keine Angabe,Keine Angabe,nein,eher ja,Keine Angabe,Keine Angabe,Ja,,,,Ich wohne zur Miete.,,Keine Angabe,Keine Angabe,ja,ja,ja,stimme nicht zu,stimme zu,Keine Angabe,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme eher zu,stimme nicht zu,Keine Angabe,stimme eher zu,1.75,3.111111111111111,1.6666666666666667,2.4,4.5,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
17,Weiblich,1947,82110,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,eher ja,eher ja,eher ja,mittelmäßig,mittelmäßig,,,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,eher ja,eher gering,gering,gering,gering,3,4,3,eher hoch,eher hoch,eher hoch,Nein,Keine Angabe,Keine Angabe,Keine Angabe,ja,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,,,ja,eher nein,ja,eher ja,nein,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme eher zu,2.25,2.5555555555555554,1.0,2.8,3.5,0.6666666666666666,clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
18,Männlich,1949,01156,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Keine Angabe,Ja,Edelgas,2,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ja,ja,ja,ja,ja,ja,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,,,,,,,,,eher nein,eher gering,eher gering,eher gering,gering,3,3,3,eher hoch,eher hoch,eher gering,Nein,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,Ja,,,,,,eher ja,eher nein,eher ja,eher ja,eher ja,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,1.1111111111111112,1.6666666666666667,2.8,4.0,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
19,Weiblich,1966,01157,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,0 bis 5 Jahres,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,eher ja,ja,ja,ja,eher ja,sehr ausführlich geschildert,zu viel Text,Option B,Option B,Option B,Option A,Option B,Option B,eher ja,eher gering,gering,gering,gering,2,4,4,gering,gering,gering,Nein,ja,ja,ja,ja,ja,nein,nein,Nein,ja,ja,ja,sehe keine Notwendigkeit ,,ja,nein,ja,nein,nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,2.9444444444444446,1.0,2.2,4.8,0.6666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
20,Männlich,1979,09599,Hochschulabschluß,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,0 bis 5 Jahres,2. Etage oder höher,Ja,Edelgas,2,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,eher ja,eher nein,eher hoch,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,eher ja,eher ja,ja,eher ja,Mischung Text/Bild,---,Option B,Option B,ich weiss es nicht,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,eher hoch,3,3,3,eher hoch,eher hoch,eher hoch,Nein,nein,eher nein,eher nein,eher ja,nein,nein,nein,Ja,,,,"Ich würde sie nicht persönlich machen / veranlassen, sondern den Vermieter.",,eher ja,eher nein,ja,ja,ja,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher nicht zu,2.0,3.1666666666666665,2.3333333333333335,3.4,4.7,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
21,Männlich,1967,09405,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,3,Nicht ausgewählt,ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,eher ja,eher nein,eher hoch,eher hoch,hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher hohe Wirksamkeit,hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,eher ja,ja,ja,eher ja,ja,ja,eher ja,die Gliederung,nichts,Option B,Option B,Option A,Option A,ich weiss es nicht,Option A,eher nein,eher hoch,eher gering,eher gering,gering,4,4,4,eher hoch,hoch,hoch,Nein,nein,nein,Keine Angabe,ja,eher nein,nein,nein,Ja,,,,,,ja,eher nein,ja,ja,nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,Keine Angabe,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,stimme zu,stimme eher nicht zu,Keine Angabe,stimme zu,stimme nicht zu,stimme eher nicht zu,1.75,2.7222222222222223,1.6666666666666667,3.0,4.7,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
22,Weiblich,1951,01259,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,nein,mittelmäßig,eher nein,eher nein,eher nein,nichts,ich habe es auch nach längeren betrachten nicht richtig verstanden,Option B,Option B,Option A,Option A,Option B,Option A,eher nein,eher gering,Keine Angabe,Keine Angabe,Keine Angabe,-1,-1,-1,gering,eher gering,gering,Nein,ja,nein,ja,ja,ja,nein,eher ja,Nein,ja,ja,ja,"ich bin nicht überzeugt davon, denn es kommt immer etwas neues raus und die Menschheit wird mit allem verrückt gemacht. Ich wohne jetzt schon 30 Jahre hier und mir ist bisher noch nichts aufgefallen.",,ja,ja,ja,ja,ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,stimme zu,stimme zu,stimme zu,4.0,0.0,0.0,4.0,2.4,0.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
23,Männlich,1957,01237,Hochschulabschluß,3,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,eher ja,eher ja,eher ja,eher ja,gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,eher ja,eher ja,ja,ja,eher ja,eher ja,eher ja,ja,ja,,,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher hoch,eher gering,eher gering,gering,4,4,3,eher hoch,eher hoch,hoch,Ja,,,,,,,,Ja,,,,,,ja,eher ja,ja,ja,Keine Angabe,stimme zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,Keine Angabe,stimme zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme eher zu,2.25,2.6666666666666665,1.6666666666666667,3.0,4.5,0.6666666666666666,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
24,Männlich,1957,95448,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,ja,ja,ja,ja,mittelmäßig,eher ja,ja,eher ja,ja,die auch bildlichen Erläuterungen und in großen Zügen einfache Erklärungen über Radon,Manchmal etwas zu kompliziert und wissenschaftlich,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,3,4,4,eher hoch,hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,ja,eher ja,ja,ja,ja,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,1.75,3.8333333333333335,1.6666666666666667,3.8,4.5,0.5,clicked,clicked,clicked,clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
25,Weiblich,1963,94107,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,nein,ja,ja,ja,ja,Nichts Besonderes,Nichts,Option A,Option B,Option A,Option A,Option B,Option B,nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,4,4,4,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,,,,,,ja,ja,ja,ja,ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,0.0,0.0,4.0,4.6,0.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
